Category	Task	Delete	Pending	Priority
Politics	? Set up shared document system for riding association			
Politics	? Confirm Canada Day community presence and booth planning			
Politics	? Coordinate Liberal presence at Tank Museum event in February			
Politics	? Coordinate Liberal presence for International Women?s Day events			
Politics	? Maintain Isaac?s visibility at community events while respecting nomination rules			
Politics	? Prepare riding association for potential snap federal election by April			
Politics	? Maintain readiness for rapid campaign launch			
Politics	? Expand Liberal outreach into cultural and immigrant communities			
Politics	? Draft public update highlighting rejuvenated riding association			
Politics	? Share photos and updates from Liberal community events			
Politics	? Maintain neutral chair role while encouraging participation			
Pumpkin Patch	? Write a letter to Quest Brands Inc. about their landscape film			
Pumpkin Patch	? Find a new pumpkin patch location			
Real Estate	? Run rent rules and calculate NOI for 1271 Simcoe Street North	 		
Real Estate	? Estimate market value range for 1271 Simcoe Street North. Target $1.5M?$1.7M	 		
Real Estate	? Obtain Maria?s contact info to discuss purchase of 1271 Simcoe Street North	 		
Real Estate	? Discuss purchase strategy for 1271 Simcoe Street North using potential 100% LTV BDC financing	 		
Real Estate	? Share Cedar and Wentworth opportunity with Medallion Homes	 		
Real Estate	? Monitor Flint Avenue listing	 		
Real Estate	? Start marketing 1281 Oxford Street listing			
Real Estate	? Draft LOI for 930 Howden			
Real Estate	? Contact Ryan Wallace 			
Real Estate	? Review property options for Oshawa Kicks land			
Real Estate	? List Dino?s property			
Real Estate	? Assess drawbacks of gutted property near Brett?s Homes on Oshawa Blvd N			
Real Estate	? Confirm whether Brett?s Homes building on Oshawa Blvd N is ready to be rented			
Real Estate	? Follow up with Brett McClellan regarding two vacant units on Oshawa Boulevard			
Real Estate	? Contact owner of Winchester and Harmony Road North property to pre-empt Broccolini			
Real Estate	? Analyze Corbett?s Rd and Harmony Road North site for townhouse development			
Real Estate	? Follow up with Fawas regarding 317 Glidden and reconnect with owner			
Real Estate	? Confirm coffee meeting date and time with Bruce Snowden			
Real Estate	? Attend coffee meeting with Roger Govea			
Real Estate	? Evaluate land value and promote Cedar and Wentworth property privately			
Real Estate	? Create and distribute marketing flyer for Cedar and Wentworth			
Real Estate	? Share Cedar and Wentworth listing with commercial real estate network			
Real Estate	? Text email address to Amir and collect documentation for Cedar and Wentworth			
Real Estate	? Contact Ryan Hood regarding new information uploaded to data room			
Real Estate	? Continue searching for 40+ acres within Oshawa boundaries for Oshawa Kicks Soccer Club			
Real Estate	? Share Russet Avenue sale details with Sean Procunier and landlord	X		
Real Estate	? Consider structuring a lease-to-own deal for the contaminated Howden Road property			
Real Estate	? Continue evaluating remediation strategy and CLOCA coordination for Howden Road property			
Real Estate	? Finalize paperwork for 292 Annapolis convenience store listing	X		
Real Estate	? Contact Gul regarding Winchester development interest			
Real Estate	? Contact Mark Chen regarding Winchester development interest			
Real Estate	? Contact Stafford regarding Winchester development interest			
Real Estate	? Draft letter to Patricia regarding estate disposal strategy for 1622 Burns Street East	X		
Real Estate	? Follow up with Haroon regarding commercial deal collaboration			
Real Estate	"? Establish recurring accountability check-ins with Tracy McCartin, Shelley Burroughs, and Emma Boyd"			
